recording_id,participant_id,class,sensor,relative_path,n_samples,units_xyz
R021,P02,smooth,Gravity,P02/R021/Gravity.csv,4966,m/s²
R022,P02,smooth,Accelerometer,P02/R022/Accelerometer.csv,5121,m/s²
R022,P02,smooth,Gyroscope,P02/R022/Gyroscope.csv,5121,rad/s
R022,P02,smooth,Gravity,P02/R022/Gravity.csv,5121,m/s²
R023,P02,smooth,Accelerometer,P02/R023/Accelerometer.csv,4949,m/s²
R023,P02,smooth,Gyroscope,P02/R023/Gyroscope.csv,4949,rad/s
R023,P02,smooth,Gravity,P02/R023/Gravity.csv,4949,m/s²
R024,P02,smooth,Accelerometer,P02/R024/Accelerometer.csv,4784,m/s²
R024,P02,smooth,Gyroscope,P02/R024/Gyroscope.csv,4784,rad/s
R024,P02,smooth,Gravity,P02/R024/Gravity.csv,4784,m/s²
R025,P01,smooth,Accelerometer,P01/R025/Accelerometer.csv,4993,m/s²
R025,P01,smooth,Gyroscope,P01/R025/Gyroscope.csv,4993,rad/s
R025,P01,smooth,Gravity,P01/R025/Gravity.csv,4993,m/s²
R026,P01,smooth,Accelerometer,P01/R026/Accelerometer.csv,4998,m/s²
R026,P01,smooth,Gyroscope,P01/R026/Gyroscope.csv,4998,rad/s
R026,P01,smooth,Gravity,P01/R026/Gravity.csv,4998,m/s²
R027,P01,smooth,Accelerometer,P01/R027/Accelerometer.csv,4169,m/s²
R027,P01,smooth,Gyroscope,P01/R027/Gyroscope.csv,4169,rad/s
R027,P01,smooth,Gravity,P01/R027/Gravity.csv,4169,m/s²
R028,P01,smooth,Accelerometer,P01/R028/Accelerometer.csv,3750,m/s²
R028,P01,smooth,Gyroscope,P01/R028/Gyroscope.csv,3750,rad/s
R028,P01,smooth,Gravity,P01/R028/Gravity.csv,3750,m/s²
R029,P01,smooth,Accelerometer,P01/R029/Accelerometer.csv,4790,m/s²
R029,P01,smooth,Gyroscope,P01/R029/Gyroscope.csv,4790,rad/s
R029,P01,smooth,Gravity,P01/R029/Gravity.csv,4790,m/s²
R030,P01,smooth,Accelerometer,P01/R030/Accelerometer.csv,4215,m/s²
R030,P01,smooth,Gyroscope,P01/R030/Gyroscope.csv,4215,rad/s
R030,P01,smooth,Gravity,P01/R030/Gravity.csv,4215,m/s²
R031,P01,smooth,Accelerometer,P01/R031/Accelerometer.csv,3761,m/s²
R031,P01,smooth,Gyroscope,P01/R031/Gyroscope.csv,3761,rad/s
R031,P01,smooth,Gravity,P01/R031/Gravity.csv,3761,m/s²
